"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0262104",1.57926482062596,1.68499779996978,1.73075809255645,1.59018474312124,1.5420136775359,1.59606345099546,1.90832138086482
"FBgn0262105",1.19351709393422,1.23458224141931,1.26445186392015,1.28220780501195,1.29773295873175,1.33502701837194,1.45276423729145
"FBgn0262106",3.52635849172148,3.55689234173919,3.53323020760141,3.29178459162437,3.22032863588118,3.27248094620352,3.61984189575347
"FBgn0262107",2.66146430967952,3.24420878451584,3.5865539277613,3.18848717442548,2.79232925146272,2.50109538053791,2.16544343034085
"FBgn0262108",1.92790841171117,1.93243973410601,1.96454137872412,2.11722430954107,2.14924139596106,2.09783138898949,1.83284175780735
"FBgn0262109",10.8146401461529,10.7593616999576,10.7201666756936,10.7024817889311,10.6848254316336,10.6366804129599,10.4798734226297
"FBgn0262114",6.86940401808108,6.85880746936683,6.86136382171331,6.91400917716777,6.92916470448475,6.91516368997339,6.82975295730155
"FBgn0262115",5.61585704137772,5.54775332823551,5.50328692463553,5.52423863718406,5.56051348272715,5.59331611097938,5.64748652057552
"FBgn0262116",6.46770550456179,6.45048007349085,6.44409447955128,6.46728607951394,6.46365834857195,6.42957995373953,6.30206986987776
"FBgn0262117",5.39764882960987,5.2902908347237,5.22524411780005,5.27971249399355,5.33037658145258,5.35055777490276,5.32494988596097
"FBgn0262123",5.26170293661145,5.36898814547876,5.39018049769272,5.10221572774605,4.99528611030216,5.04075674583519,5.43538450303576
"FBgn0262124",5.89997375042665,5.7715695148666,5.68398048342365,5.69334216822705,5.73281910615321,5.75589861168525,5.76280926948595
"FBgn0262125",7.30445737802396,7.30242813728344,7.36195115187106,7.71393253105266,7.85734105502843,7.88529342314018,7.71189448059195
"FBgn0262126",6.48365514062061,6.54582769546039,6.67358883950688,7.158223404557,7.33001321367552,7.34057978975605,7.0457550905528
"FBgn0262127",4.70150147867478,4.71157595474656,4.69361206476039,4.55495635813179,4.50680618352887,4.51800694616072,4.6575328050017
"FBgn0262139",2.49149750795491,2.42047565900158,2.36479150745564,2.3246081674906,2.32103836063959,2.31498244897251,2.29501382548166
"FBgn0262140",2.58330429475484,2.60823183411162,2.68111479181524,2.97143226309352,3.0219651010962,2.90868876645415,2.36500318630556
"FBgn0262142",-3.01953672201424,-2.14949573308178,-1.48636595784523,-1.0780217866391,-1.01724303273029,-0.838133574671844,-0.214938085421044
"FBgn0262143",3.85598317065818,3.72628919540202,3.66103951162436,3.78793536225247,3.84261159913703,3.80343774175835,3.53569520619937
"FBgn0262144",2.48418640333987,2.55344929905522,2.57642105148028,2.42392168225095,2.32856157632584,2.27350985331685,2.24862861345212
