"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0041182",0,0,0,0,2.4145167446738,2.92120604410127,2.81096022544252,2.47680029158603,0,0,0,0,2.86103679181226,0,0,0
"FBgn0041579",5.83019127603011,6.44291596460179,6.64088230234246,6.77686428745448,6.55666480276325,6.41236952132631,0,6.25250848586394,0,0,6.47085241598701,0,6.43344984320658,0,5.86399907392764,0
"FBgn0042086",2.38395570773455,2.61058270761819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0050091",0,0,0,0,0,0,5.84356311370478,0,0,0,0,0,6.23264993781364,0,0,0
"FBgn0050160",2.38383766905757,2.61082324003997,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0051041",0,2.81771830997359,0,2.30760049863964,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0052185",0,0,0,0,0,8.50419372679185,0,0,0,0,8.22934281249229,0,8.77542757271398,0,0,0
"FBgn0052251",0,0,0,0,0,2.83254062013819,2.91920858357253,0,0,0,0,0,0,0,0,0
"FBgn0052751",0,0,0,0,0,0,0,2.30504692003054,2.35855419854207,0,0,0,0,0,0,0
"FBgn0053301",0,2.8950179990733,3.14165987609946,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0053306",0,0,0,0,0,0,0,0,0,0,0,0,2.08609447153236,0,2.03470418922996,0
"FBgn0053469",2.15282201019162,2.18423157610338,0,0,0,0,0,0,2.26844228665723,0,0,0,0,0,0,0
"FBgn0053470",0,0,2.51171097127423,2.5667216256998,2.45713474089545,2.50015272093798,0,0,0,0,0,0,0,0,0,0
"FBgn0053509",0,0,-2.05083672891086,0,-2.30537651121476,0,0,0,0,0,0,0,0,0,0,0
"FBgn0053511",0,0,0,0,0,0,0,2.13662464310573,0,0,0,0,0,2.23188526783976,0,0
"FBgn0067905",0,0,2.43548131186291,2.82648989931647,2.69727932223082,2.7952958951553,2.50533056575797,0,0,0,2.40149454287892,0,2.63786888579489,0,0,0
"FBgn0085209",0,0,0,0,0,-3.66170296975633,-2.29665359288573,-2.7988038823139,-2.44101610667633,0,0,0,-2.53174643920303,-2.88299172629074,0,0
"FBgn0085358",0,0,0,2.48331254100431,0,2.31563932390933,2.83005152592543,2.89847457259182,3.0584967799551,2.5755527120623,2.30039195808549,3.09233953043987,3.09003394825052,2.85738453024275,2.28934625404273,0
"FBgn0259229",0,0,0,-2.00727184874072,0,-2.70322190422418,0,-2.20152876704073,0,0,0,0,0,-2.20102102614222,0,0
"FBgn0261930",0,0,0,0,0,0,0,0,0,0,0,2.24131472209148,0,2.02770680025948,0,0
"FBgn0262146",0,0,2.28931776301266,2.40626259570222,0,0,0,0,0,0,0,2.50337604936537,0,0,0,0
"FBgn0262357",0,0,0,0,0,0,0,0,0,0,0,0,3.0191960762784,3.11198400006505,2.97349389377685,2.81261530156779
"FBgn0262531",0,0,0,6.75592715033482,6.75185822064819,0,0,0,0,0,0,0,0,0,0,0
"FBgn0262721",2.22990969048369,2.77530278990322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FBgn0262838",3.64296005920365,4.1738810040582,3.29939519369816,0,3.38946054652982,3.80146691303219,0,0,0,0,0,0,3.47355816273243,0,0,0
"FBgn0262983",0,3.99760148414347,4.09651064519307,4.87673376791754,5.41433072732099,4.92805148709934,4.41176380142989,3.83837161416791,0,0,0,0,4.66625263811414,0,0,0
"FBgn0264541",0,0,0,7.41402571236171,0,7.02885813818868,0,6.95480104822071,0,0,7.422805871105,0,7.26003315298967,0,7.31033624320792,0
"FBgn0266405",0,0,0,5.98888662932182,5.48484455512904,5.57492437472672,5.6272263124611,5.94355555290392,5.84204845395103,5.45220755907558,5.83951800736377,0,5.93971166881969,0,5.29041458858845,0
"FBgn0283427",0,0,0,-2.1289974024561,-2.18881675602012,0,0,0,0,0,0,0,0,0,0,0
"FBgn0283462",0,0,2.51169236900952,2.5667504769575,2.45713474089545,2.50014394621994,0,0,0,0,0,0,0,0,0,0
