"","dat_smoothed.1","dat_smoothed.2","dat_smoothed.3","dat_smoothed.4","dat_smoothed.5","dat_smoothed.6","dat_smoothed.7"
"FBgn0003870",5.87619471993254,5.90816670362239,5.9118789922693,5.81323268953931,5.78050681283211,5.80253629592731,5.95514899821449
"FBgn0003882",4.5921033410029,4.45078086531386,4.36531101274031,4.44730580282352,4.53667912516643,4.60442444187932,4.68772660159975
"FBgn0003884",10.5332264083792,10.6533851414755,10.736479995937,10.7292092882679,10.6829477279133,10.6398130770365,10.5671283719356
"FBgn0003885",8.00705168195076,8.0539530270379,8.09545515563021,8.14233857012308,8.13922272309558,8.11485779091356,8.02741072865455
"FBgn0003886",4.46905503885408,4.50624644324025,4.51669809520752,4.43058087412951,4.39074939138611,4.38941896479615,4.46451837365786
"FBgn0003888",6.33133205164743,6.83066952246902,7.10569332752879,6.71146023270059,6.45420906494334,6.42691444170779,6.85022572991524
"FBgn0003889",9.6575897952133,9.65432741912362,9.65295519089374,9.66096072407575,9.67070734381401,9.68410254638204,9.71734026351979
"FBgn0003890",6.61725205115179,6.62711577003035,6.60538636794151,6.44345655963247,6.38125607010815,6.38049304812443,6.50074415599716
"FBgn0003891",7.51020331594788,7.51331113950414,7.48686004349218,7.32801036908378,7.27532076411638,7.28990376807991,7.45136402599587
"FBgn0003892",3.30103950541371,3.57722829863489,3.72606471133385,3.49312019407308,3.35280231943955,3.35402224219847,3.64837720376927
"FBgn0003896",2.98839273297384,2.90603365479093,2.83748989502066,2.79119350190341,2.83293686449218,2.92578447269716,3.20442195830156
"FBgn0003900",3.65523606242405,3.81080877651658,3.90206430297325,3.81084737841807,3.74241751411028,3.73397180031507,3.84295006902653
"FBgn0003916",3.21223216741211,2.70658235466831,2.450565193601,2.95201139572577,3.19956151074124,3.1164309639975,2.27813682727888
"FBgn0003920",2.08650001783965,1.71468933567335,1.5633796738477,2.12122271767418,2.33219089851084,2.18157417775253,1.15643133317435
"FBgn0003922",2.0828059401675,1.71800946855708,1.57077998170574,2.12384536736902,2.33053797522386,2.1774800013082,1.15150525749907
"FBgn0003923",0.475125014623461,0.153388751598097,0.0286119385203217,0.518903198516646,0.649442184199206,0.399498359347171,-0.854827778848342
"FBgn0003941",9.35874753141356,9.27907469978192,9.24505073085564,9.3548667725234,9.39519717682952,9.36012739240345,9.13910228994817
"FBgn0003942",9.72978575056517,9.62333485153945,9.56665278113004,9.65810247620322,9.70836594783803,9.69821815432513,9.55428293918563
"FBgn0003943",12.5701729137876,12.7478099332064,12.8531134314166,12.7546697826164,12.6775210976427,12.6654210447528,12.7782566077154
"FBgn0003944",3.78686239599687,3.58059494149465,3.41546196872643,3.3043240570411,3.34596974144763,3.43737916606875,3.70493534451873
"FBgn0003950",2.89934469409136,3.23433432961743,3.4005719655799,3.04692237594722,2.8703474623828,2.91529171047048,3.45568530131927
"FBgn0003961",7.13698578757671,7.68184261863583,8.01796804515023,7.77286577047367,7.52185447834128,7.40748908483159,7.47845506700992
"FBgn0003963",2.93473273779766,3.11020435452669,3.20163086176786,3.04401762864811,2.96768075767915,3.00417075889123,3.30621054446484
"FBgn0003964",5.14022198882563,5.2284068992561,5.2747663090133,5.19827502756013,5.16167989015301,5.18168316828052,5.33652539963653
"FBgn0003965",5.3322600643973,5.35478178771665,5.24817815701603,4.53015716090894,4.20920173468415,4.09813607145844,4.29644916605113
"FBgn0003969",4.70813065114258,4.89148900870105,5.00337444902378,4.9215700884217,4.8526953247039,4.8476920746062,4.97233485353923
"FBgn0003975",2.2807642618354,2.25159626951769,2.14055111356888,1.65654899816718,1.54777668158348,1.68846508117441,2.45463846560686
"FBgn0003977",3.98372777820429,4.23787544982287,4.35640640444739,4.04619828366763,3.89904038405341,3.93816697376989,4.39395705340498
"FBgn0003978",2.68131533964345,2.70600221346718,2.7312464539824,2.7873221980352,2.82158626720577,2.86176084366791,2.95307607970317
"FBgn0003984",2.77057997277567,3.17865841262498,3.44195688944272,3.33070074924817,3.18304534633541,3.12705007328308,3.217084762965
"FBgn0003996",4.54098590573745,4.54878196066975,4.55418986098299,4.55829555386145,4.56597662724359,4.58279227875429,4.63404844797904
