"","pvalue.t1.t0","pvalue.t2.t0","pvalue.t4.t0","pvalue.t5.t0","pvalue.t6.t0","pvalue.t8.t0","pvalue.t10.t0","pvalue.t12.t0","pvalue.t14.t0","pvalue.t16.t0","pvalue.t20.t0","pvalue.t24.t0","pvalue.t30.t0","pvalue.t36.t0","pvalue.t42.t0","pvalue.t48.t0"
"FBgn0000037",0.379533626589105,0.871428233311909,0.779984190940396,0.0166569846993405,0.656162371598649,0.28408454083085,0.579842778753019,0.767421518300869,0.428544769327894,0.460493173816619,0.326051959053134,0.306943390059386,0.512638967839208,0.79627132105235,0.471426302683687,0.777747599315504
"FBgn0000038",0.317677418062658,0.611776810412848,0.0461077933050939,0.0266851502944827,0.302563691508157,0.00610749338227135,0.0361249107034161,0.0609643462472386,0.131542247347571,0.130871205192636,0.0198741419099772,0.0413758439189006,0.0351735097671248,0.0497251480949356,0.0880023827460038,0.0908743827290651
"FBgn0000039",0.374646977463589,0.712066834002151,0.134992200147449,0.356747759744679,0.736481388270217,0.0363380107189915,0.180422223400311,0.194348578359211,0.139285782022009,0.16623695738517,0.00440092163184797,0.164968536680229,0.202157359910053,0.13145863202267,0.125380006129218,0.190875404426555
"FBgn0000042",0.450633872718591,0.0495086809125302,0.888225434159746,0.297104927843969,0.523383029503585,0.507558087176509,0.685731532313021,0.422996712025446,0.69613991556309,0.726160986899285,0.384389290053519,0.0562816461169204,0.0201817929305722,0.0597499149062519,0.312919635771331,0.475410315332268
"FBgn0000043",0.404746408427876,0.013250730284424,0.103136057699658,0.919509940441302,0.0204000910283774,0.140701060251463,0.673773676391019,0.827484891360151,0.431264794561677,0.774804541160562,0.201973156072679,0.966043328669678,0.319353480969451,0.562996583632916,0.694622882692636,0.432785697119581
"FBgn0000044",0.481651646204117,0.418221489082714,0.195140317983609,0.247589364387801,0.130452403198599,0.0845306423144103,0.422205530019066,0.172377521919091,0.069076584541494,0.0385986118140431,0.0292199879702815,0.0488882207100752,0.0315348877182218,0.00300790192851432,0.011019532848203,0.00177866693815989
"FBgn0000045",0.0730936917977786,0.064115803859094,0.0617151031227134,0.174232305781049,0.0485809071279018,0.0324731163921329,0.0821840497773734,0.0724729003072894,0.00887851737650743,0.00863368175838139,0.00112826438429288,0.0184289239974003,0.000740204742968065,0.00127333629651381,0.000605265189820316,0.000244461866431556
"FBgn0000046",0.343626748204779,0.375599356807262,0.190994374459874,0.281522100046512,0.377338111053027,0.0267829408105645,0.0692951624055111,0.0203254901131391,0.0102625715900965,0.0352537680410578,0.0234327628020984,0.00757700569682526,0.0132241826098938,0.00122832429436714,0.00123012963367306,0.0012840108033213
"FBgn0000047",0.0333488973327382,0.0382342392611617,0.0975853184917951,0.0571176008314939,0.0822122595989166,0.575199626868676,0.878735989748825,0.203835694549052,0.241073094217765,0.502378342370024,0.0180787540051413,0.918752292381303,0.568262650478369,0.016538222579169,0.0354330637238392,0.00257511140730694
"FBgn0000052",0.0946225853306173,0.446878072929262,0.256121958145714,0.0806962517923591,0.63776897866093,0.595863447680015,0.0818324998694361,0.113145205713584,0.582888300016096,0.775273940159707,0.999248528678789,0.128094903998035,0.0231013661760688,0.0518377997669663,0.9134256388914,0.00136280366625453
"FBgn0000053",0.256959631099336,0.144976072050438,0.618541815000371,0.154988243255848,0.504189318475007,0.844280715313011,0.177851002703076,0.3922002092215,0.954912783233371,0.968318750285282,0.639739488542405,0.291354804296923,0.0624861194856564,0.0875577662330487,0.565563801374184,0.00211324586552071
"FBgn0000055",0.00287608942401289,0.0368645634904798,8.45190270139362e-05,0.000174774050404798,0.000193682751876436,0.0691485641541709,0.181722030940056,0.0300229712215219,0.000108919370384451,0.00180676942261863,0.0879888650857439,0.731015764622257,0.922926074190011,0.86977218439944,0.192659790047398,0.213231001848102
"FBgn0000057",0.0532384328096912,0.374333424193636,0.561421410655104,0.0704853434631231,0.447897621654865,0.40867247840029,0.217589912962745,0.114928096238985,0.0224863833916633,0.0525181114932817,0.456010444381035,0.498580906803472,0.507870220131097,0.0682498432820526,0.23701874782958,0.834741266849735
"FBgn0000063",0.900730286642144,0.5744416663213,0.0708516954372228,0.743188814821252,0.482425206514338,0.26811645044928,0.408138279725361,0.896025027582976,0.998548875156042,0.404941661589482,0.377309871606337,0.785378634079515,0.415615661877355,0.447237014286257,0.535927316187993,0.779026768869461
"FBgn0000064",0.52286535258858,0.12904643798864,0.00172312158563495,0.0014361114992121,0.00074994708811772,0.00139730333310366,0.0720643831655435,0.137427935308737,0.00379474825028416,0.0252444921004076,0.381342845242885,0.0502258934187012,0.763929579713625,0.189861448702574,0.523285317381161,0.213120288288087
"FBgn0000075",0.804357216178303,0.416793372964104,0.018693957567159,0.00945739148048827,0.00499867559694668,0.00584657014131689,0.000561639403568877,0.00904101016759464,0.00486415835912688,0.00182761241562266,0.854880865405159,0.0103698842467066,0.00329605840625599,0.00791649878692629,0.366147451677036,0.682696463063283
"FBgn0000077",0.774631669880277,0.324934680564487,0.89175588888721,0.0189427822449071,0.0644307330993119,0.631523794847393,0.0503519860088653,0.020550443719624,0.0338109771743097,0.0640171163059485,0.0854965292564683,0.0284396384676287,0.0421681231708074,0.0398746733601204,0.107398477498084,0.126506082295242
"FBgn0000078",0.0656028860983304,0.0164915689643893,0.0410656808658528,0.00719795567839784,0.0430591780963193,0.0546203531736441,0.0177732449901118,0.019376887356513,0.968997440758972,0.191616021000485,0.000164176138951555,1.79339150732704e-05,8.91016848894222e-05,0.00274706654369585,0.000374483328911585,0.000641142730163498
