"","adj.pvalue.t1.t0","adj.pvalue.t2.t0","adj.pvalue.t4.t0","adj.pvalue.t5.t0","adj.pvalue.t6.t0","adj.pvalue.t8.t0","adj.pvalue.t10.t0","adj.pvalue.t12.t0","adj.pvalue.t14.t0","adj.pvalue.t16.t0","adj.pvalue.t20.t0","adj.pvalue.t24.t0","adj.pvalue.t30.t0","adj.pvalue.t36.t0","adj.pvalue.t42.t0","adj.pvalue.t48.t0"
"FBgn0013277",0.000710920408837307,0.0222994893961491,0.0886230499769802,0.37755935398417,0.029462553474263,0.718014906429987,0.406208148781598,0.856124803720505,0.862944916948491,0.656261679653073,0.905874752780251,0.966541230136978,0.790283998955115,0.509152162677813,0.786057285283692,0.623189951110058
"FBgn0013278",0.000673808329396291,0.0207792809650179,0.0824536387202839,0.391230129454731,0.0284342068259277,0.717159219408428,0.40091463893253,0.884482627157291,0.882738667109383,0.660313211762374,0.926341951816837,0.972220157911808,0.785378892302497,0.531509440674549,0.772049635179386,0.644825393492623
"FBgn0013279",0.000722350558157823,0.0217244264675434,0.0859477106303111,0.376099146581349,0.0285631071253408,0.724759678442115,0.395911871333781,0.862303743748077,0.887406617101395,0.675233642200617,0.935760570908296,0.966803733406499,0.79101480183565,0.526238950036645,0.782139530563751,0.635687962744357
"FBgn0014018",0.00718388301559317,0.0147429676813488,0.369728443149698,0.462780751395335,0.427981571347006,0.408570838402368,0.376795102311579,0.343337880007877,0.680481015150288,0.652021833746227,0.346251503789804,0.600341868621811,0.318090331900934,0.435220933776609,0.389231991878724,0.323171760221296
"FBgn0014396",0.0988997988423219,0.0326691103909367,0.0277150483471538,0.12636659457033,0.894267503517618,0.0248401330506312,0.000834888987731613,0.000232109388603791,4.47216933670951e-05,3.84929885466638e-05,0.000478772881847734,0.404019559918183,0.914833347070645,7.0530625380811e-05,3.72919921557996e-05,0.843103788137794
"FBgn0014454",0.403144649642533,0.0860923938822089,0.0954293720349109,0.537287836613999,0.0795485580432,0.013053271429227,0.163265295389678,0.255791822236401,0.256691988521222,0.287398810062525,0.393335102237531,0.638215828898191,0.329380713548627,0.166736337090974,0.322007463307385,0.196241930270689
"FBgn0014859",1.16034264708764e-06,0.000128193552433801,0.0886482279414735,0.398843139886496,0.212961485402615,0.516378353583162,0.473195112944753,0.498986697948261,0.977333090327457,0.902242704667137,0.89903537319004,0.58020721355144,0.687198120104543,0.405320109658962,0.505938402335023,0.570477300693064
"FBgn0014865",0.0142264905852134,0.00577557741308679,0.00141820234310962,0.000585611420641123,0.000734546427517773,0.000497197918659165,0.000910501504219486,0.000663386976952145,0.000916847669454884,0.00159066476806384,0.000634066070583187,0.0124115738383657,0.000328673200936645,0.00166196293643843,0.000892851345417975,0.00179058234550458
"FBgn0015316",0.0765244016041429,0.0067458431399809,0.00411266517055948,0.0035263141844289,0.0272642258194073,0.405013351817338,0.437418668538341,0.0323862571687154,0.00024217608091617,0.00448694564504732,0.341756509581882,0.908415967605212,0.367559941943276,0.039519378995417,0.101510609878071,0.362888843096727
"FBgn0015570",0.807678350947362,0.349613158758063,0.000352157845695496,0.00113910425569151,0.000371972622362115,0.0117374492536707,0.94980049923299,0.523862273774597,0.477292399350053,0.509616710999216,0.98458335678891,0.828399607588062,0.339826963423657,0.444270733407547,0.655974514760034,0.336077539606898
