"","top.ns.time_ID..df.1","top.ns.time_ID..df.2","top.ns.time_ID..df.3","top.AveExpr","top.F","top.P.Value","top.adj.P.Val"
"FBgn0038858",0.882171957592943,-0.524132081529363,0.809905539032565,5.78860727636763,11.8848866889386,0.0002119110002484,0.0116678609880274
"FBgn0031011",0.741795697754212,0.0463924758710444,0.645576650634969,5.9441435829384,11.8822943838462,0.000212166530507579,0.0116678609880274
"FBgn0038631",-0.116611845082039,1.65955358114934,-0.082687380335616,6.70852841279531,11.8794285088572,0.000212449428745174,0.0116678609880274
"FBgn0030594",0.566501321710591,-0.346434757389473,0.623226166498092,7.73282812418476,11.8743937023194,0.000212947451073266,0.0116678609880274
"FBgn0050287",-1.31450086596822,4.51206641388263,-1.19749270593507,0.192992904507357,11.8475464004773,0.000215625236328552,0.0117636578284935
"FBgn0085455",0.231767851878541,-0.822110187688809,0.479652665543987,4.60982600186182,11.7517262388822,0.000225494381111087,0.0122492806082533
"FBgn0261628",1.5388663397242,1.6494414602472,0.359540502382678,1.8253702183293,11.7128174709497,0.000229645363938441,0.0124214588520036
"FBgn0035978",1.57181846105149,-1.04346982481994,0.919804065017225,8.87758203430802,11.6889918179732,0.000232229393549054,0.0125077763155335
"FBgn0011584",-0.313257127370235,0.593076710168308,-0.191561510556178,7.96692205486716,11.6745552244298,0.000233810951504698,0.0125395983609956
"FBgn0013307",-0.502628080640223,1.13033679418162,-0.0378459406872464,5.49180883638956,11.628613054397,0.000238924795322726,0.0126703064456364
"FBgn0036023",2.62242166889573,4.07695388842641,1.71477211180296,1.96241314258364,11.625999974778,0.000239219399027623,0.0126703064456364
"FBgn0053348",0.959969761481366,1.28235412109487,0.0960642022000288,1.93863218877064,11.6214040779051,0.000239738536341824,0.0126703064456364
"FBgn0029932",1.54667262360566,0.426933505990735,1.14487261160391,6.72119649112399,11.6168665775855,0.00024025231468379,0.0126703064456364
"FBgn0030321",-0.1061612640976,0.571427152963071,-0.116922568107855,6.33419094294645,11.603131721417,0.000241815030235685,0.0126998043057803
"FBgn0033027",4.02635269102041,2.34987996296869,0.779964765774852,2.53968382886637,11.5879760875187,0.000243552614815326,0.012738204321147
"FBgn0023407",0.0995724220718903,-0.571460192880407,0.395408379234509,5.66869701657884,11.5488619377348,0.000248101960424014,0.0129227428522088
"FBgn0032925",0.0599631472591759,0.944859738332455,-0.160456642289982,4.0569441002985,11.4880285029007,0.000255367688043219,0.0130736669678612
"FBgn0035906",0.676828527561804,0.287673773345725,0.26945401243926,6.26361781414676,11.485433527687,0.000255682876310524,0.0130736669678612
"FBgn0031530",0.565057000234156,0.240057000249964,0.294094797406484,4.38499812794121,11.4851364465657,0.000255718987846325,0.0130736669678612
"FBgn0034394",1.6997276105699,0.783780886191851,0.861412000585508,7.83573120003886,11.4829828824123,0.000255980933914237,0.0130736669678612
"FBgn0035147",0.771798976410199,-0.0703366436311709,0.70482969868335,7.79175829623946,11.4777565518716,0.000256617881709976,0.0130736669678612
"FBgn0086909",0.655332975808203,0.872052910773089,0.607692511420715,5.81172055332703,11.4730168967967,0.000257197051038749,0.0130736669678612
"FBgn0040340",-0.698871736213175,1.1498462765202,-0.569059482373206,6.85679838974928,11.4537039307186,0.000259572201627162,0.0131035132717922
"FBgn0028532",1.46612514255202,2.06383798456884,1.37025050827544,4.19547386293711,11.4445403985522,0.000260707732146453,0.0131035132717922
"FBgn0036116",-0.397057807279292,0.35714666289895,-0.341192137551631,5.56439994176997,11.4430732995437,0.000260890048549548,0.0131035132717922
"FBgn0027538",0.36681984144441,0.737428063802235,0.311605268555679,4.48715275956071,11.4329149832247,0.000262156344208896,0.0131150705480316
"FBgn0035726",0.789794928350083,0.256957891167783,0.438554488195059,6.75443493174628,11.4045866837072,0.000265724129263151,0.0132412216696209
"FBgn0030511",0.195912361156222,0.954886520459455,0.149307923049625,3.16357459147549,11.3628957694767,0.000271074120263418,0.0134548436869572
"FBgn0010770",0.0438611550802026,1.10074502946752,-0.0101109061703145,3.14302761957995,11.300336820636,0.000279329657627375,0.0138061981195543
"FBgn0019940",0.430955761061269,1.83074234818295,0.366443932292587,6.59356348426476,11.2892189593337,0.000280826068627624,0.0138061981195543
"FBgn0039008",-0.459583811256812,0.0249697479366065,-0.510579482220335,4.61387250522158,11.2838908651222,0.000281546383091575,0.0138061981195543
"FBgn0033879",0.616913565689372,-0.00780937078457748,0.435516331467114,7.03723886612378,11.2767425709738,0.000282516023778508,0.0138061981195543
"FBgn0012037",0.806268408915282,0.617348281209416,0.696905895819648,7.48776812723207,11.2545635310533,0.000285548399991564,0.0139007157642047
"FBgn0015527",-0.0440488837503909,0.776162944434116,0.086612536115669,4.46731436546685,11.2402164155053,0.00028752937248119,0.0139289068322736
"FBgn0034786",0.291020578472272,0.395204453205604,0.356739653133024,5.01085167159455,11.23446018345,0.000288328481477102,0.0139289068322736
"FBgn0051741",3.37159416114582,3.65402191367814,3.14430256483021,-2.01160335153174,11.2092097271374,0.000291863365997196,0.0140225548221836
