"","logFoldChange.t1.t0","logFoldChange.t2.t0","logFoldChange.t4.t0","logFoldChange.t5.t0","logFoldChange.t6.t0","logFoldChange.t8.t0","logFoldChange.t10.t0","logFoldChange.t12.t0","logFoldChange.t14.t0","logFoldChange.t16.t0","logFoldChange.t20.t0","logFoldChange.t24.t0","logFoldChange.t30.t0","logFoldChange.t36.t0","logFoldChange.t42.t0","logFoldChange.t48.t0"
"FBgn0054039",0.0280017266968935,-0.0555280984334394,-0.048594258683897,0.236602533621752,-0.0867918909845948,-0.0369291930495192,-0.132868991401045,-0.0768439621160537,-0.096086837792507,0.282741880060375,0.0280827279791609,-0.0257356899128611,-0.0181764083677458,-0.0452339673435804,0.0154754951016485,-0.119704434744187
"FBgn0054040",0.563510602444424,0.853021167440764,1.0903710799097,0.745825080188049,0.301977697609458,0.0450919142147099,0.854397481883321,0.860288352873281,2.10448495086609,2.00036118115427,2.98672012704846,2.92916313679049,2.46697287251672,2.80888200181224,3.25827133199185,3.25628258588777
"FBgn0054041",0.0397149437891615,-0.00144085377827619,-0.262407993684649,0.118163802968731,-0.330890787988494,-0.489418408280733,-0.335963479757257,-0.226031637479165,-0.203719193146128,-0.332061089310517,-0.217094246459737,-0.124291259326077,-0.303384262440863,-0.178483734621612,-0.117446322726246,-0.196116162702102
"FBgn0054043",0.226074904509268,0.5161455802521,0.146588190599318,0.512213614012914,0.396359624539347,0.444429670397092,0.329393611708158,0.11571319740472,0.515021252876711,0.604890211717626,0.383614204048267,0.154926862776504,0.26869679282797,0.366073185274923,0.612003561930224,0.199179433788136
"FBgn0054045",0.405403747412694,0.73998517973343,0.449000515905015,1.26694629343769,0.881935321156296,0.480158621186011,0.811640055312769,1.01875543287446,0.955001604386332,0.578737226448075,0.912359472121511,0.682787828451464,0.732503911669128,1.0235020093703,1.10786682488087,1.08626673678869
"FBgn0054049",0.0418902081820178,-0.193095812952752,-0.0748387100789323,-0.29691077038425,-0.0898250229597544,-0.134497175938723,-0.257076184365717,-0.57888177911579,-0.133095270681317,0.0173538201843297,-0.247268253693479,-0.439564965717785,-0.332227869262809,-0.532424257017504,-0.49910540068925,-0.504885080878659
"FBgn0054051",0.0233851907150964,0.0797808797947717,-0.127527255908993,0.257472329861605,-0.144478632220885,-0.348201848082087,-0.238136231800135,-0.234882116097828,-0.144729568511758,-0.220704230572633,-0.125911396045222,-0.0872815417146402,-0.195605078670434,-0.225338171497761,-0.177855622444719,-0.202805009337604
"FBgn0054054",1.90598587134653,2.49283179637467,2.0951491676135,1.89595623424885,1.59605707565518,1.74885373093848,1.57041171700449,1.62086690901179,1.43460822720288,1.79559594157856,1.90883603952535,0.657923165567239,2.12988719924282,1.10211734164086,1.80075814969534,0.992058531942871
"FBgn0054056",-0.0178636740666773,0.0556045988249037,-0.0948921708741954,0.0377741926613324,-0.1236100131943,-0.107815510704963,0.065138520202257,0.047390496907985,0.0612114993783894,-0.0782840226846706,-0.213552047522382,0.0183638475757393,0.174946531569771,0.0672036479353815,0.0463907951242439,0.0314346469009679
"FBgn0054057",-0.160983909968415,-0.0948657133650945,-0.263072749375454,-0.176484832812843,-0.366813617461929,-0.612176633533447,-0.140071048080564,-0.256590666865575,-0.334778681111891,-0.248178515570472,-0.358680592796362,-0.23657127623433,-0.467335028148252,-0.307871518948104,0.0319100300212813,-0.24418468656167
"FBgn0058002",-0.107180163937284,-0.191601794552819,-0.38871442731515,0.0664662572277077,-0.286245033388075,-0.36614420413472,-0.105911655935087,-0.0288037576531446,0.070409704626802,0.0810507642857905,-0.0891922069616129,0.142568616519781,-0.0221004450366937,-0.0654512321136256,0.170171921433626,-0.0415356245081924
"FBgn0058005",0.0284985844164907,0.0673988439298543,0.101758947874605,0.0439883079546375,0.140731801233225,0.189444427636264,0.218443381827465,0.184914562140456,0.203360459698368,0.0970082490279771,0.305250355232913,0.145962549773801,0.378662478677429,0.224510280851892,0.288590768108126,0.28274221421167
"FBgn0058006",-0.0783662419196869,-0.286294366216882,-0.228993578772819,0.0192404949244187,-0.0698406560599398,-0.0727186733974987,0.184995168027817,0.372834463788157,0.3814358816238,0.240958763742398,0.275218194102689,0.204752267538449,0.27937871481029,0.276803087875783,0.498928412566265,0.0586751299339454
"FBgn0058045",-0.00723252039850752,-0.0771641997241996,-0.279815222833943,0.297430167248024,-0.0865193877335626,-0.0916072955158382,0.0604673250137298,0.0251651682749294,0.152953416172245,0.0934103083444713,0.134169208252513,0.184088133239871,0.118007449294223,0.0781505851556101,0.267800892500116,0.054516463242253
"FBgn0058053",0.169332390359433,0.0424700436431263,0.34452336233049,-0.068123862175412,-0.158611163524541,-0.175997775376362,-0.481856690145449,-0.111726709173984,0.331063132247842,0.110650265175816,0.31528138660124,-0.53434005488539,-0.0526998811041992,-0.217190283856825,-0.0402109346683316,0.145808010952556
"FBgn0058064",0.0671095211403467,-0.00462889653039911,0.00135576115507297,-0.0468537929907651,-0.0266101667456935,-0.0792475424281114,-0.346225284993881,-0.415863659572282,-0.246317354267017,-0.0314615694197826,-0.0916797490822332,-0.287171058365987,-0.0875420571672216,-0.274869502720307,-0.231285624699201,-0.396963589755336
"FBgn0058068",0.156855248075896,0.132531253770811,0.373212807874144,0.0179014582132571,0.393887187900185,-0.0799272670610158,0.38605747163672,0.626634183399003,0.448122472936948,0.551325181940096,1.13896860333075,0.637955088615675,0.464368899064861,0.360836296892624,0.649262959222565,-0.235611674949278
"FBgn0058100",-0.106724534614211,-0.0446435289477509,-0.377958207360499,0.03157056741498,-0.460723310300274,-0.35589267906918,-0.0128981066961527,0.0813331891302506,-0.309799711806874,-0.0227644229626164,-0.21014809855909,-0.171613391669457,0.0646340135115659,-0.107051015761234,0.221648968578179,-0.050689639274203
"FBgn0058160",-0.0229162614490424,-0.0447317931077675,-0.362302484252052,-0.0195313554064409,-0.286062147731162,-0.159070750917309,0.22586672461185,0.220784772576013,0.210525714874013,0.19553666579144,0.190451006040229,0.245230282221872,0.347103700159443,0.415793612716164,0.481737425645868,0.190903277133623
