"","top.ns.time_ID..df.1","top.ns.time_ID..df.2","top.ns.time_ID..df.3","top.AveExpr","top.F","top.P.Value","top.adj.P.Val"
"FBgn0053192",2.82677057386684,2.19718998207406,0.799917087028095,3.67106930917531,55.9370019377941,1.55979446964778e-05,0.0070508280722614
"FBgn0032810",1.25861782861722,3.15853898127025,1.43886561099542,4.81720962239302,54.5404141283789,1.70916632914455e-05,0.0074596269751664
"FBgn0039666",9.94896696832639,6.8402283133124,8.17586234504531,3.48882827180716,50.869703390827,2.1977175412439e-05,0.00888048488919788
"FBgn0034331",1.74860262894289,4.22274685496547,1.20325015352722,8.63378951153111,50.6751462583794,2.22825868619316e-05,0.00888048488919788
"FBgn0040732",-1.41970628758016,-1.23391735718471,-1.46408672819566,8.24010621452553,50.5686436986557,2.24520436481261e-05,0.00888048488919788
"FBgn0039685",-1.50625613233443,-0.889657751650489,-1.99195656685408,6.07477274208811,48.144110070166,2.67910281548576e-05,0.0102755770713949
"FBgn0002563",-2.53139932031499,-0.828976891420497,-2.18324332924668,5.35320640391721,46.794728659601,2.9668297944417e-05,0.0110444602083084
"FBgn0262146",2.36616842307731,4.8570031023506,0.70908329636413,4.52135795684727,45.4266814025096,3.29956038790921e-05,0.0113625782731245
"FBgn0083970",-1.24969765204425,-2.63300650803547,-1.64244067969749,3.56043755911717,45.3687258194831,3.31467172318228e-05,0.0113625782731245
"FBgn0044812",3.90831195916779,6.23416105042664,4.66054795398329,7.33700777537937,45.0693024926757,3.3941510396408e-05,0.0113625782731245
"FBgn0040104",7.67729983781856,3.30889210564027,4.11988496839511,2.46631827558558,45.0055738808509,3.41137690115139e-05,0.0113625782731245
"FBgn0002719",-1.71559876349012,-0.317729566076029,-1.55813136596991,9.9493655741622,43.8620192185588,3.74012779519515e-05,0.0121381532060987
"FBgn0028327",1.44234800512226,1.12734932792807,1.0720999756835,7.68557478011877,42.99984825612,4.01479988740004e-05,0.0127038305437056
"FBgn0014396",-0.723061226466996,-0.881132118313339,2.17697471841368,6.50295053830403,40.7637079318416,4.85589798953921e-05,0.0149905124033165
"FBgn0011704",1.53048460742391,1.29647338275104,0.914554474863369,3.98973035193952,39.0674294593692,5.64689170182029e-05,0.0170173114928427
"FBgn0040734",1.82843096692061,5.1752415232623,2.03984118619536,5.9921516095946,38.5586852051727,5.91539933733305e-05,0.0174119091657266
"FBgn0037485",1.57157530502042,0.583119700266905,0.775013395551433,4.65959370947168,37.9679526711249,6.24774761960145e-05,0.0179722140048399
"FBgn0265577",3.33949309344932,15.1291442134908,3.11025434860366,3.47713216567427,37.3883513982267,6.59708408281808e-05,0.0185553984969396
"FBgn0032381",1.97257567972223,4.33982845265499,1.82874433127899,5.30810827075471,36.2298164048454,7.37258773313841e-05,0.0202858354213767
